Industry,Price,Demand_Index,Seasonality,Competitor_Price,Customer_Segment,Discount_Offered,Purchase_Prob,Purchased
RideHailing,250,0.27,0.85,250,High,5,0.025281815624999992,0
Hospitality,150,0.88,1.15,300,Low,5,0.07865453749999998,0
Ecommerce,300,0.1,0.85,50,Medium,20,0.01,0
Retail,150,0.65,1.0,200,High,10,0.1527703125,0
RideHailing,50,0.14,1.15,250,Low,5,0.03277272395833334,0
RideHailing,300,0.83,0.85,100,Low,5,0.01,0
RideHailing,200,0.55,1.15,150,Medium,0,0.09663194444444448,0
RideHailing,100,0.48,1.0,100,Medium,20,0.20768000000000003,0
Airline,200,0.95,1.0,200,Medium,15,0.107825,1
FoodDelivery,250,0.34,0.85,100,Low,15,0.013940637499999999,0
FoodDelivery,50,0.37,0.85,50,Low,0,0.13366250000000002,0
RideHailing,150,0.28,1.15,150,Low,10,0.08204157500000002,1
Airline,50,0.92,0.85,200,Medium,0,0.09775,1
Ecommerce,250,0.76,1.0,150,High,0,0.03884444444444444,0
Ecommerce,150,0.78,1.0,300,High,10,0.09777300000000001,0
Airline,100,0.5,1.15,50,Low,15,0.09245520833333334,0
FoodDelivery,150,0.28,0.85,150,High,15,0.09319484999999998,0
FoodDelivery,300,0.67,1.0,200,Medium,10,0.01,0
RideHailing,50,0.39,0.85,50,Low,10,0.14077009375000005,0
RideHailing,250,0.87,1.15,300,High,0,0.08789114583333331,0
Retail,150,0.34,1.15,150,Medium,0,0.087975,0
Ecommerce,50,0.33,1.0,100,High,0,0.10541666666666666,0
Retail,150,0.65,1.0,200,Medium,20,0.1438125,0
Retail,150,0.71,0.85,200,Medium,15,0.12843234374999998,1
Hospitality,50,0.76,0.85,200,Medium,10,0.10268708333333335,0
Retail,50,0.39,1.0,250,High,15,0.09544640624999999,0
RideHailing,150,0.74,1.15,150,High,15,0.30546113124999996,0
Airline,50,0.71,0.85,50,Medium,5,0.15766437499999997,0
RideHailing,100,0.98,0.85,100,Low,15,0.29466680833333336,0
Hospitality,50,0.35,1.15,150,Medium,0,0.07826388888888888,0
Hospitality,50,0.25,1.0,200,Medium,10,0.03973958333333334,0
Retail,150,0.98,1.0,300,Medium,5,0.11521124999999999,0
FoodDelivery,50,0.26,0.85,300,Low,15,0.05330243750000001,0
Hospitality,50,0.38,1.15,150,Medium,20,0.10026722222222222,0
Hospitality,150,0.82,1.0,50,High,0,0.11001666666666668,0
FoodDelivery,150,0.61,0.85,50,Medium,20,0.12236599999999999,0
Ecommerce,150,0.77,0.85,250,Low,20,0.08752846666666668,0
RideHailing,50,0.17,0.85,250,High,0,0.038081770833333334,0
Airline,50,0.46,1.0,100,High,5,0.11516770833333331,0
Ecommerce,100,0.33,1.0,100,Medium,0,0.08800000000000002,0
Retail,150,0.74,1.15,250,Medium,5,0.13339425,0
Retail,250,0.17,1.15,50,Low,15,0.01,0
Ecommerce,300,0.9,1.15,200,Medium,5,0.01,0
Ecommerce,150,0.52,1.15,300,Low,5,0.053117349999999994,0
Retail,200,0.13,1.15,300,High,15,0.019513487500000003,0
FoodDelivery,200,0.29,0.85,200,Medium,20,0.058174000000000003,0
Ecommerce,150,0.67,0.85,100,Medium,10,0.1034591666666667,0
Hospitality,200,0.77,1.0,250,Medium,20,0.08833611111111112,1
Retail,200,0.47,1.0,100,Low,5,0.041747750000000014,0
Ecommerce,50,0.69,0.85,50,Low,20,0.1960865,0
Hospitality,200,0.61,1.15,250,Medium,0,0.06820138888888888,0
RideHailing,250,0.18,1.0,300,Medium,15,0.015606249999999999,0
Airline,100,0.54,1.15,200,Low,20,0.08304840000000001,0
Airline,300,0.67,1.0,200,High,5,0.01,0
Airline,50,0.59,0.85,200,High,5,0.07533470312499999,1
Hospitality,200,0.62,1.0,150,Low,0,0.05123611111111111,0
Hospitality,250,0.66,0.85,50,Medium,10,0.017835124999999997,0
FoodDelivery,200,0.19,1.0,250,High,5,0.03805541666666666,0
Retail,100,0.39,1.0,100,Medium,5,0.12226500000000001,0
RideHailing,100,0.73,0.85,150,Low,15,0.1829139201388889,0
FoodDelivery,50,0.59,0.85,50,High,0,0.28836249999999997,0
RideHailing,100,0.33,1.15,300,Low,15,0.06712248125,0
FoodDelivery,50,0.31,1.0,50,Low,15,0.14953625,0
Ecommerce,250,0.91,0.85,200,Low,0,0.036526388888888886,0
Retail,200,0.96,1.15,100,High,20,0.14981279999999997,1
RideHailing,50,0.6,0.85,200,Low,0,0.09934375000000001,0
FoodDelivery,100,0.98,1.0,100,Low,10,0.363188,0
Hospitality,150,0.21,0.85,100,Medium,15,0.029545468749999998,0
Ecommerce,300,0.73,1.0,50,Medium,10,0.01,0
FoodDelivery,250,0.18,1.15,250,Low,15,0.01997032499999999,0
Retail,250,0.78,1.0,200,High,10,0.06110812499999999,0
Ecommerce,150,0.32,1.15,300,High,20,0.04993759999999999,1
RideHailing,300,0.15,0.85,50,High,0,0.01,0
RideHailing,300,0.46,0.85,50,Low,20,0.01,0
RideHailing,250,0.97,0.85,250,Medium,20,0.08918341666666665,0
FoodDelivery,200,0.6,0.85,100,High,0,0.0782,0
Retail,250,0.73,1.15,50,High,15,0.04109090156249999,0
Ecommerce,200,0.2,0.85,100,Medium,5,0.015791111111111117,0
RideHailing,200,0.42,1.15,300,High,0,0.06788833333333333,0
FoodDelivery,200,0.64,0.85,250,Medium,10,0.0988266666666667,0
Airline,150,0.75,1.15,50,Medium,5,0.09013124999999998,0
Airline,150,0.14,1.15,50,Medium,0,0.0161,0
Retail,150,0.63,1.15,50,Medium,10,0.11845575000000001,0
FoodDelivery,50,0.52,1.15,50,Low,15,0.28846025000000003,0
FoodDelivery,300,0.92,1.15,250,Low,20,0.01,0
Hospitality,50,0.32,0.85,300,Low,10,0.03675116666666667,0
RideHailing,300,0.89,1.0,200,High,5,0.01,0
Ecommerce,300,0.85,1.0,200,Low,15,0.01,0
Ecommerce,150,0.46,1.15,250,Low,5,0.06265123333333335,0
Ecommerce,200,0.98,1.0,100,Medium,10,0.09495111111111115,1
Airline,200,0.59,0.85,200,Medium,5,0.052406749999999995,0
FoodDelivery,250,0.23,0.85,100,Low,15,0.01,0
FoodDelivery,100,0.66,1.0,250,Medium,10,0.14388,0
Hospitality,150,0.58,1.15,150,Medium,15,0.13248287499999997,0
Retail,150,0.89,1.15,250,Medium,20,0.18115950000000003,0
Hospitality,250,0.25,1.0,250,Medium,20,0.017208333333333325,0
FoodDelivery,50,0.42,1.0,100,Low,5,0.15544375000000002,0
Retail,100,0.82,0.85,300,High,10,0.131053425,0
FoodDelivery,50,0.35,0.85,50,High,20,0.20185374999999997,0
Ecommerce,300,0.66,1.15,300,Medium,20,0.01,0
Hospitality,150,0.74,1.15,300,High,15,0.09719217812499999,0
Airline,300,0.58,1.15,50,High,20,0.01,0
Retail,50,0.29,1.0,300,Low,0,0.04621875,0
Retail,200,0.42,0.85,250,Medium,15,0.05064937500000002,0
Airline,50,0.61,1.0,50,Low,15,0.14712437500000003,0
Airline,150,0.42,0.85,300,Low,0,0.022758749999999998,0
Ecommerce,250,0.24,1.15,200,Medium,10,0.01671333333333333,0
Ecommerce,50,0.17,1.15,250,High,5,0.03915702083333333,0
Hospitality,200,0.1,1.0,50,Medium,10,0.01,0
Airline,150,0.61,1.15,250,Low,5,0.0623107375,0
Hospitality,200,0.56,0.85,200,High,0,0.06386333333333334,0
Ecommerce,250,0.56,1.15,200,Low,10,0.03314811111111111,0
Ecommerce,100,0.51,0.85,100,Medium,20,0.13640800000000003,0
RideHailing,50,0.22,0.85,50,Low,10,0.07940877083333335,0
Ecommerce,150,0.41,0.85,250,Medium,15,0.05273966666666667,0
Ecommerce,250,0.76,0.85,100,High,10,0.02699203333333333,0
Ecommerce,200,0.86,1.15,50,Low,15,0.06360918333333335,0
FoodDelivery,250,0.83,1.15,300,Medium,15,0.09027979166666664,0
Airline,50,0.71,1.15,300,High,20,0.13849881249999996,0
Retail,50,0.42,1.15,100,Medium,20,0.17810625,0
Hospitality,150,0.49,1.15,150,Medium,15,0.1119251875,0
FoodDelivery,50,0.58,1.15,150,Low,0,0.18898333333333334,0
FoodDelivery,150,0.77,1.0,200,Medium,5,0.2011625,0
Hospitality,100,0.41,1.0,250,High,15,0.06243445833333334,0
RideHailing,250,0.59,0.85,200,Low,5,0.0340279939236111,1
Hospitality,150,0.61,1.0,150,High,20,0.14485974999999998,0
Ecommerce,100,0.41,1.0,100,Medium,10,0.11917333333333337,0
FoodDelivery,300,0.19,0.85,200,High,15,0.01,0
RideHailing,250,0.93,1.15,100,Low,15,0.047290839062499986,0
Retail,300,0.17,1.0,50,Medium,10,0.01,0
Ecommerce,250,0.99,1.0,200,Medium,0,0.054999999999999986,0
Ecommerce,150,0.63,0.85,50,Low,0,0.060690000000000015,0
Retail,250,0.64,1.15,200,Low,5,0.04085949999999999,0
Airline,100,0.53,1.15,50,High,10,0.12733470833333335,0
Hospitality,300,0.26,1.15,200,Medium,20,0.01,0
Retail,250,0.62,1.0,100,Medium,20,0.027434999999999994,0
Retail,200,0.51,1.0,300,High,20,0.069207,0
Retail,250,0.46,1.15,150,High,20,0.03589264999999999,0
FoodDelivery,300,0.85,1.15,100,Low,10,0.01,0
Airline,300,0.5,1.0,300,Medium,10,0.01,0
Retail,250,0.17,1.15,100,Medium,10,0.01,0
RideHailing,50,0.12,1.0,250,Low,0,0.023375000000000003,0
